,Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
388,753.57,1081.52,1211.21,1192.19,1571.16,1281.14
389,753.57,1081.52,1211.21,1192.19,1571.16,1281.14
390,764.87,1081.52,1211.21,1192.19,1594.73,1281.14
391,764.87,1081.52,1211.21,1192.19,1594.73,1281.14
392,764.87,1081.52,1211.21,1192.19,1594.73,1281.14
393,764.87,1081.52,1211.21,1192.19,1594.73,1281.14
394,764.87,1081.52,1229.37,1192.19,1594.73,1281.14
395,764.87,1081.52,1229.37,1192.19,1594.73,1281.14
396,764.87,1081.52,1229.37,1192.19,1594.73,1281.14
397,764.87,1097.74,1229.37,1192.19,1594.73,1281.14
398,764.87,1097.74,1229.37,1210.07,1594.73,1281.14
399,764.87,1097.74,1229.37,1210.07,1594.73,1281.14
400,764.87,1097.74,1229.37,1210.07,1594.73,1300.35
401,764.87,1097.74,1229.37,1210.07,1594.73,1300.35
402,776.34,1097.74,1229.37,1210.07,1618.65,1300.35
403,776.34,1097.74,1229.37,1210.07,1618.65,1300.35
404,776.34,1097.74,1229.37,1210.07,1618.65,1300.35
405,776.34,1097.74,1229.37,1210.07,1618.65,1300.35
406,776.34,1097.74,1247.81,1210.07,1618.65,1300.35
407,776.34,1097.74,1247.81,1210.07,1618.65,1300.35
408,776.34,1097.74,1247.81,1210.07,1618.65,1300.35
409,776.34,1114.21,1247.81,1210.07,1618.65,1300.35
410,776.34,1114.21,1247.81,1228.22,1618.65,1300.35
411,776.34,1114.21,1247.81,1228.22,1618.65,1300.35
412,776.34,1114.21,1247.81,1228.22,1618.65,1319.86
413,776.34,1114.21,1247.81,1228.22,1618.65,1319.86
414,787.99,1114.21,1247.81,1228.22,1642.93,1319.86
415,787.99,1114.21,1247.81,1228.22,1642.93,1319.86
416,787.99,1114.21,1247.81,1228.22,1642.93,1319.86
417,787.99,1114.21,1247.81,1228.22,1642.93,1319.86
418,787.99,1114.21,1266.53,1228.22,1642.93,1319.86
419,787.99,1114.21,1266.53,1228.22,1642.93,1319.86
420,787.99,1114.21,1266.53,1228.22,1642.93,1319.86
421,787.99,1130.92,1266.53,1228.22,1642.93,1319.86
422,787.99,1130.92,1266.53,1246.65,1642.93,1319.86
423,787.99,1130.92,1266.53,1246.65,1642.93,1319.86
424,787.99,1130.92,1266.53,1246.65,1642.93,1339.66
425,787.99,1130.92,1266.53,1246.65,1642.93,1339.66
426,799.81,1130.92,1266.53,1246.65,1667.57,1339.66
427,799.81,1130.92,1266.53,1246.65,1667.57,1339.66
428,799.81,1130.92,1266.53,1246.65,1667.57,1339.66
429,799.81,1130.92,1266.53,1246.65,1667.57,1339.66
430,799.81,1130.92,1285.53,1246.65,1667.57,1339.66
431,799.81,1130.92,1285.53,1246.65,1667.57,1339.66
432,799.81,1130.92,1285.53,1246.65,1667.57,1339.66
433,799.81,1147.88,1285.53,1246.65,1667.57,1339.66
434,799.81,1147.88,1285.53,1265.35,1667.57,1339.66
435,799.81,1147.88,1285.53,1265.35,1667.57,1339.66
436,799.81,1147.88,1285.53,1265.35,1667.57,1359.75
437,799.81,1147.88,1285.53,1265.35,1667.57,1359.75
438,811.81,1147.88,1285.53,1265.35,1692.59,1359.75
439,811.81,1147.88,1285.53,1265.35,1692.59,1359.75
440,811.81,1147.88,1285.53,1265.35,1692.59,1359.75
441,811.81,1147.88,1285.53,1265.35,1692.59,1359.75
442,811.81,1147.88,1304.81,1265.35,1692.59,1359.75
443,811.81,1147.88,1304.81,1265.35,1692.59,1359.75
444,811.81,1147.88,1304.81,1265.35,1692.59,1359.75
445,811.81,1165.1,1304.81,1265.35,1692.59,1359.75
446,811.81,1165.1,1304.81,1284.33,1692.59,1359.75
447,811.81,1165.1,1304.81,1284.33,1692.59,1359.75
448,811.81,1165.1,1304.81,1284.33,1692.59,1380.15
449,811.81,1165.1,1304.81,1284.33,1692.59,1380.15
450,823.98,1165.1,1304.81,1284.33,1717.98,1380.15
451,823.98,1165.1,1304.81,1284.33,1717.98,1380.15
452,823.98,1165.1,1304.81,1284.33,1717.98,1380.15
453,823.98,1165.1,1304.81,1284.33,1717.98,1380.15
454,823.98,1165.1,1324.38,1284.33,1717.98,1380.15
455,823.98,1165.1,1324.38,1284.33,1717.98,1380.15
456,823.98,1165.1,1324.38,1284.33,1717.98,1380.15
457,823.98,1182.58,1324.38,1284.33,1717.98,1380.15
458,823.98,1182.58,1324.38,1303.59,1717.98,1380.15
459,823.98,1182.58,1324.38,1303.59,1717.98,1380.15
460,823.98,1182.58,1324.38,1303.59,1717.98,1400.85
461,823.98,1182.58,1324.38,1303.59,1717.98,1400.85
462,836.34,1182.58,1324.38,1303.59,1743.75,1400.85
463,836.34,1182.58,1324.38,1303.59,1743.75,1400.85
464,836.34,1182.58,1324.38,1303.59,1743.75,1400.85
465,836.34,1182.58,1324.38,1303.59,1743.75,1400.85
466,836.34,1182.58,1344.25,1303.59,1743.75,1400.85
467,836.34,1182.58,1344.25,1303.59,1743.75,1400.85
468,836.34,1182.58,1344.25,1303.59,1743.75,1400.85
469,836.34,1200.32,1344.25,1303.59,1743.75,1400.85
470,836.34,1200.32,1344.25,1323.15,1743.75,1400.85
471,836.34,1200.32,1344.25,1323.15,1743.75,1400.85
472,836.34,1200.32,1344.25,1323.15,1743.75,1421.86
473,836.34,1200.32,1344.25,1323.15,1743.75,1421.86
474,848.89,1200.32,1344.25,1323.15,1769.9,1421.86
475,848.89,1200.32,1344.25,1323.15,1769.9,1421.86
476,848.89,1200.32,1344.25,1323.15,1769.9,1421.86
